trail_name,segment_length_miles,trail_surface,primary_use,seasonality,directionality,pets_allowed,activities
Boyer Park Bike Trail,1.8047765605515,Asphalt,Biking,NA,NA,NA,"Hiking/Walking, Bicycle"
National Park Trail,0.103439784753636,NA,Hiking,All Year,NA,NA,Hiking/Walking
Bunchgrass Trail,0.481078906228848,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0981664188589289,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.02709767190141,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.739262479219671,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.647434754452278,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.155440274670137,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0549015536870095,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.386975822385256,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0181592892603907,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0889931622143495,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0991317051260071,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0540706234108729,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0512442499723661,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0539702416616869,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.207867436010995,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.182106550101102,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.108249199756532,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0404043867135712,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0290646682828245,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0424937004311097,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0214423129639578,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0440696703916349,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.00306715904151368,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0207758120172635,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.152801073405303,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.162944442109514,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.115006374969925,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0598698329916975,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.149386141630356,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.763846551582318,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.330988181359546,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0473825526752888,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.181124093904273,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0121798552795195,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0755305407106049,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.406698800392061,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0434424212919724,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.156923388437848,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.365663313074859,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0202562612077966,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0173971183614759,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0175220713207815,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.143898146426964,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0439967489010706,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0500016237113993,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.0181871502252741,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.353462165334231,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.176103799499069,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.190227186568047,NA,Hiking,All Year,NA,NA,Hiking/Walking
National Park Trail,0.252002740109455,NA,Hiking,All Year,NA,NA,Hiking/Walking
NA,0.766365806007596,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.0154653293369903,Natural,NA,NA,NA,NA,Hiking/Walking
NA,4.87919302756251,Natural,NA,NA,NA,NA,Hiking/Walking
NA,3.16075308027886,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.89323925640251,Natural,NA,NA,NA,NA,Hiking/Walking
NA,2.63932210501933,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.785566936622174,Natural,NA,NA,NA,NA,NA
NA,0.842812450760324,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.37120218314182,Natural,NA,NA,NA,NA,Hiking/Walking
NA,2.74004386777056,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.728427612790646,Natural,NA,NA,NA,NA,Hiking/Walking
Loop Trail,2.87848633017222,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,0.124231561744485,Natural,NA,NA,NA,NA,Hiking/Walking
Loop Trail,6.83186827631422,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,2.74557641258488,Natural,NA,NA,NA,NA,Hiking/Walking
Loop Trail,4.28976988498044,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,5.58350069555631,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.535046189446739,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.32123686467059,Natural,NA,NA,NA,NA,NA
NA,0.0112210627762361,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.413620889027923,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.14368960114642,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.30228462493496,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.700161223081131,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.0112630085219031,Natural,NA,NA,NA,NA,NA
NA,1.50677752817326,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.7945796586099,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.47997021702182,Natural,NA,NA,NA,NA,Hiking/Walking
NA,0.558341679371866,Natural,NA,NA,NA,NA,Hiking/Walking
NA,1.88370029202941,Natural,NA,NA,NA,NA,Hiking/Walking
NA,4.1642746238152,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,3.94520035017575,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,0.202368995109112,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,6.14366846633481,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,1.41682186052256,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,0.606328181621576,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,0.721290060297,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,3.1860697426734,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,2.57342265567003,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
NA,1.44590991324908,Natural,NA,NA,NA,NA,"Hiking/Walking, Bicycle, Pack and Saddle"
Sherman Creek Trail,0.0121977643619534,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.034303200769902,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.0729064399738454,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.115718875991218,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.542175429042953,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.255484531851469,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.735775282480333,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.337980769544103,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.76195103687693,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.548617623085737,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.33084714373835,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.511522060851971,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.230751427176247,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.298205512861853,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.184985204185711,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.98934737675631,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.600056825553042,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.105545692502328,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.0494774687887926,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.503578445618776,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.0817268075473412,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.0241357133135013,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.142927858765992,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.671308379216937,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.741145003344423,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.394962657160997,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Creek Trail,0.671678473803196,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Kettle Crest North,44.2391682952623,Snow,NA,NA,NA,NA,NA
Twin Sisters,10.0455989366527,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Old Stage,2.39209784042125,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Marcus,5.14340872049229,Natural,Hiking,NA,NA,NA,Hiking/Walking
Lambert,2.52166514578738,Natural,Hiking,NA,NA,NA,Hiking/Walking
Old Stage,8.4742376603603,Natural,Hiking,NA,NA,NA,Hiking/Walking
U.S. Mountain,4.89184889824203,Natural,Hiking,All Year,NA,NA,Hiking/Walking
U.S Spur,4.00599838853616,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Midnight Ridge,6.1149860221354,Natural,Hiking,NA,NA,NA,Hiking/Walking
Mac/King,12.081548381364,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Tie,0.802386139699131,Imported Compacted Material,Hiking,All Year,NA,NA,Hiking/Walking
White Mtn Interp,0.143392237515095,Imported Compacted Material,Hiking,All Year,NA,NA,Hiking/Walking
