objectid,trail_name,surface_cat,use_cat,segment_length_miles,trail_width
32513,Highway 270 Trail,Paved,Hiking/Walking,2.0383818941125,10
34261,Lee-Volpentest Bridge,Paved,Other/Multi,0.533825222673308,8
34262,Lee-Volpentest Bridge,Paved,Other/Multi,0.534442163912831,8
34263,Pioneer Memorial Birdge,Paved,Other/Multi,0.683642985486178,4
34414,Sacajawaea Heritage Trail,Paved,Other/Multi,0.607540782895686,6
34415,Sacajawaea Heritage Trail,Paved,Other/Multi,2.09603194740822,12
34416,Sacajawaea Heritage Trail,Paved,Other/Multi,1.17350145132548,12
34417,Sacajawaea Heritage Trail,Paved,Other/Multi,0.163540587353589,6
34418,Sacajawaea Heritage Trail,Paved,Other/Multi,0.197253439495599,8
34425,Sacajawaea Heritage Trail,Paved,Other/Multi,11.4911250056828,10
34427,I-182 Bike Pedestrian Trail,Paved,Other/Multi,5.84885123615912,13
34429,Sacajawaea Heritage Trail,Paved,Other/Multi,11.4911250056828,10
34430,Sacajawaea Heritage Trail,Paved,Other/Multi,1.86753816142347,4
34431,Sacajawaea Heritage Trail,Paved,Other/Multi,0.460358721702048,10
38450,Social Trail,Native/Dirt,Hiking/Walking,0.291650143478164,18
38452,Social Trail,Native/Dirt,Hiking/Walking,0.125135016404812,18
38453,Social Trail,Native/Dirt,Hiking/Walking,1.09277933186769,18
38454,Social Trail,Native/Dirt,Hiking/Walking,0.141289035497699,18
38460,Social Trail,Other,Hiking/Walking,0.0150678568391636,18
38461,Social Trail,Other,Hiking/Walking,0.0154497221646409,18
38462,Social Trail,Native/Dirt,Hiking/Walking,0.0836867660046142,18
38464,Social Trail,Native/Dirt,Hiking/Walking,0.103051540995958,18
38466,Social Trail,Other,Hiking/Walking,0.0578322933995928,18
38467,Social Trail,Other,Hiking/Walking,0.12204683817633,18
38468,Social Trail,Other,Hiking/Walking,0.120634409781076,18
38469,Social Trail,Other,Hiking/Walking,0.063758568695628,18
38470,Social Trail,Other,Hiking/Walking,0.167370135652831,18
38471,Social Trail,Other,Hiking/Walking,0.142740102049843,18
38472,Social Trail,Other,Hiking/Walking,0.658552918634965,18
38473,101,Other,Hiking/Walking,0.289071951895499,18
38474,25,Other,Hiking/Walking,0.460059307899987,18
38475,25,Other,Hiking/Walking,0.122964334541084,18
38476,Social Trail,Other,Hiking/Walking,0.179979921542479,18
38477,Social Trail,Other,Hiking/Walking,0.210090721616674,18
38478,Social Trail,Native/Dirt,Hiking/Walking,0.114866143337393,18
38479,Social Trail,Native/Dirt,Hiking/Walking,0.0487051352445214,18
38481,Social Trail,Native/Dirt,Hiking/Walking,0.0412012568208362,18
38482,Social Trail,Native/Dirt,Hiking/Walking,0.268743871569624,18
38483,Social Trail,Other,Hiking/Walking,0.71659874033304,18
38484,Social Trail,Native/Dirt,Hiking/Walking,0.225351777646132,18
38485,Social Trail,Other,Hiking/Walking,0.961604022505339,18
38486,Arena Loop,Native/Dirt,Hiking/Walking,0.664379805326997,18
38487,EQ Road,Gravel/Crushed,Hiking/Walking,0.943055963886259,18
38488,Social Trail,Native/Dirt,Hiking/Walking,0.113074391360358,18
38489,Social Trail,Other,Hiking/Walking,0.0661165723169035,18
38490,Social Trail,Other,Hiking/Walking,0.18633992977005,18
38491,Social Trail,Native/Dirt,Hiking/Walking,0.402457927566175,18
38496,25,Other,Hiking/Walking,0.48930778304484,18
38497,Social Trail,Other,Hiking/Walking,0.373529142889527,18
38498,401,Other,Hiking/Walking,0.270953501530148,18
38499,400,Other,Hiking/Walking,0.523381838014556,18
38500,411,Other,Hiking/Walking,0.498358699085655,18
38501,Social Trail,Native/Dirt,Hiking/Walking,0.161371521962703,18
38502,Social Trail,Native/Dirt,Hiking/Walking,0.331061100085557,18
38503,Social Trail,Native/Dirt,Hiking/Walking,0.116614246909061,18
38504,Social Trail,Native/Dirt,Hiking/Walking,0.150679200134553,18
38505,Social Trail,Native/Dirt,Hiking/Walking,0.404932431252187,18
38506,Social Trail,Native/Dirt,Hiking/Walking,0.128504183878797,18
38507,Social Trail,Native/Dirt,Hiking/Walking,0.641370210199057,18
38508,Social Trail,Native/Dirt,Hiking/Walking,0.622193422535348,18
38510,Social Trail,Native/Dirt,Hiking/Walking,0.0592192842847556,18
38511,Social Trail,Native/Dirt,Hiking/Walking,0.108783102111804,18
38512,Social Trail,Native/Dirt,Hiking/Walking,0.427002725203766,18
38516,25,Other,Hiking/Walking,0.129701454880259,18
39754,210,Native/Dirt,Hiking/Walking,0.798941244360728,18
39757,BP Path,Paved,Hiking/Walking,0.143505990892081,18
39762,Trail to Bridge,Paved,Hiking/Walking,0.0453101658592269,18
39763,100,Native/Dirt,Hiking/Walking,4.92079500268012,18
39764,25,Native/Dirt,Hiking/Walking,1.39216164618932,18
39819,Knothead Valley,Native/Dirt,Hiking/Walking,5.20929263123377,18
39820,"Trail To Overlooks 1,2,3",Native/Dirt,Hiking/Walking,0.404822745638229,18
39822,Trail to Overlooks,Native/Dirt,Hiking/Walking,0.249891430983179,18
39823,Trail to Overlooks,Native/Dirt,Hiking/Walking,0.312660852466073,18
