objectid,trail_name,trail_width,num_uses,motor_type,hiking_walking,bicycle,e_bike,x4wd,atv,motorcycle,pack_and_saddle,motorized_watercraft,non_motorized_watercraft,cross_country_ski,snowmobile,snowshoe,dog_sled
32513,Highway 270 Trail,10,3,Non-Motorized Only,1,1,0,0,0,0,1,0,0,0,0,0,0
34261,Lee-Volpentest Bridge,8,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34262,Lee-Volpentest Bridge,8,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34263,Pioneer Memorial Birdge,4,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34363,Joseph K. Gavinski Trail,6,1,Non-Motorized Only,0,1,0,0,0,0,0,0,0,0,0,0,0
34364,I 90 Ped Bridge,8,1,Non-Motorized Only,0,1,0,0,0,0,0,0,0,0,0,0,0
34412,Sacajawea park and ride bike path,8,1,Non-Motorized Only,0,1,0,0,0,0,0,0,0,0,0,0,0
34414,Sacajawaea Heritage Trail,6,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34415,Sacajawaea Heritage Trail,12,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34416,Sacajawaea Heritage Trail,12,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34417,Sacajawaea Heritage Trail,6,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34418,Sacajawaea Heritage Trail,8,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34425,Sacajawaea Heritage Trail,10,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34427,I-182 Bike Pedestrian Trail,13,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34429,Sacajawaea Heritage Trail,10,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34430,Sacajawaea Heritage Trail,4,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
34431,Sacajawaea Heritage Trail,10,2,Non-Motorized Only,1,1,0,0,0,0,0,0,0,0,0,0,0
38442,Liberty Lake Trail,15,1,Non-Motorized Only,0,1,0,0,0,0,0,0,0,0,0,0,0
38443,Cheney Spokane Interchange,12,1,Non-Motorized Only,0,1,0,0,0,0,0,0,0,0,0,0,0
38446,Children of the Sun Trail,12,1,Non-Motorized Only,0,1,0,0,0,0,0,0,0,0,0,0,0
38450,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38452,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38453,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38454,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38455,25,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38456,100,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38457,25,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38458,100,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38459,100,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38460,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38461,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38462,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38463,100,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38464,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38465,100,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38466,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38467,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38468,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38469,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38470,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38471,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38472,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38473,101,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38474,25,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38475,25,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38476,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
38477,Social Trail,18,1,Non-Motorized Only,1,0,0,0,0,0,0,0,0,0,0,0,0
