objectid,trail_name,county,region,is_motorized,segment_length_miles
32305,Rufus,Stevens/Pend Oreille,Western WA,Non-Motorized,0.0206623796188136
32511,NA,Whitman,Eastern WA,Non-Motorized,1.83708129629858
32512,Bill Chipman Palouse Trail,Whitman,Eastern WA,Non-Motorized,13.8653554436831
32513,Highway 270 Trail,Whitman,Eastern WA,Non-Motorized,2.0383818941125
32514,Foot bridge Chipman Trail,Whitman,Eastern WA,Non-Motorized,0.0454380711887594
32515,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,2.60526014213625
32516,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,0.132306713637535
32517,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,1.55665457391245
32518,Wawawai County Park Interpretive Trail,Whitman,Eastern WA,Non-Motorized,0.129819684466157
32519,Boyer Park Bike Trail,Whitman,Eastern WA,Non-Motorized,0.21363341970333
32520,Wawawai County Park Interpretive Trail,Whitman,Eastern WA,Non-Motorized,0.137974183255584
32521,Wawawai County Park Interpretive Trail,Whitman,Eastern WA,Non-Motorized,0.187182220324814
32522,Boyer Park Bike Trail,Whitman,Eastern WA,Non-Motorized,1.8047765605515
32523,Boyer Park Bike Trail,Whitman,Eastern WA,Non-Motorized,1.98123322805599
32524,Wawawai County Park Interpretive Trail,Whitman,Eastern WA,Non-Motorized,0.890426282537768
32525,Escure Ranch Trail,Whitman,Eastern WA,Non-Motorized,4.8499049422036
32526,Wawawai Road Trail,Whitman,Eastern WA,Non-Motorized,1.74482681262767
32527,Sunnyside Park Trail,Whitman,Eastern WA,Non-Motorized,0.566973386961182
32528,Fountain View to Sunnyside Trail,Whitman,Eastern WA,Non-Motorized,0.226451822205603
32529,Itani Linear Park Path,Whitman,Eastern WA,Non-Motorized,0.570841328502003
32530,Johnson Road Trail,Whitman,Eastern WA,Non-Motorized,1.14721379834437
32531,WSU Arboretum Trail,Whitman,Eastern WA,Non-Motorized,1.85056459697811
32532,WSU Arboretum Trail,Whitman,Eastern WA,Non-Motorized,0.132988982426323
32533,Military Hill Path,Whitman,Eastern WA,Non-Motorized,0.860384496350426
32534,Conservation Park Trail,Whitman,Eastern WA,Non-Motorized,0.594410951277033
32535,Conservation Park,Whitman,Eastern WA,Non-Motorized,0.294964065119871
32536,Dry Fork Creek Trail,Whitman,Eastern WA,Non-Motorized,0.555072302422091
32537,Terra View Trail,Whitman,Eastern WA,Non-Motorized,5.61703945000781
32538,Sunnyside Park Trail,Whitman,Eastern WA,Non-Motorized,0.387500509046467
32539,Wawawai Road,Whitman,Eastern WA,Non-Motorized,0.0817926544511521
32540,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,12.8469236133863
32541,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,5.47696533255974
32542,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,1.53679429679006
32543,Palouse to Cascades State Park Trail,Whitman,Eastern WA,Non-Motorized,0.79953706242609
33496,Picnic Point Trail,Stevens,Eastern WA,Non-Motorized,0.236621665927507
33497,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.654082399820649
33498,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.135024173609361
33499,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.032484812462891
33500,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.164189648195969
33501,Picnic Point Trail,Stevens,Eastern WA,Non-Motorized,0.126856090422979
33502,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.0286589250492639
33503,Picnic Point Trail,Stevens,Eastern WA,Non-Motorized,0.561375057132841
33504,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.0979983705365456
33505,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.548706387886829
33506,National Park Trail,Stevens,Eastern WA,Non-Motorized,0.0524230335311574
33507,National Park Trail,Stevens,Eastern WA,Non-Motorized,0.13279291825009
33508,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.183788625594084
33509,National Park Trail,Stevens,Eastern WA,Non-Motorized,0.035591714091857
33510,National Park Trail,Stevens,Eastern WA,Non-Motorized,0.345573000687283
33511,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.0315248550013265
33512,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.279673338292207
33513,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.00525608512626846
33514,Picnic Point Trail,Stevens,Eastern WA,Non-Motorized,0.0675391936185891
33515,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.172142511225691
33516,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.0442955562063507
33517,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.335733574826119
33518,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.115147503591559
33519,Ski Point Trail,Stevens,Eastern WA,Non-Motorized,0.045188421208195
33520,Headquarters Pond,Stevens,Eastern WA,Non-Motorized,0.135972113609406
33521,Rufus Spur Trail,Stevens,Eastern WA,Motorized,0.372955727934553
33522,Mill Butte,Stevens,Eastern WA,Non-Motorized,0.216018341071462
33523,Headquarters Pond,Stevens,Eastern WA,Non-Motorized,0.0439814739364157
33524,McDowell Marsh Enviromental Education,Stevens,Eastern WA,Non-Motorized,0.689075164672232
33525,Mill Butte,Stevens,Eastern WA,Non-Motorized,2.47803317663169
33526,McDowell Marsh Enviromental Education,Stevens,Eastern WA,Non-Motorized,0.0774168274398322
33527,McDowell Marsh Enviromental Education,Stevens,Eastern WA,Non-Motorized,0.0051334825817576
33528,Pierre Lakeshore Trail,Stevens,Eastern WA,Non-Motorized,1.25053563576831
33529,Old Timers Horse Trail,Stevens,Eastern WA,Non-Motorized,11.9660427596157
33530,McDowell Marsh Enviromental Education,Stevens,Eastern WA,Non-Motorized,0.49221329853355
33531,Sherry Trail,Stevens,Eastern WA,Motorized,1.68126946292872
33532,Chewelah Mountain Summit Trail,Stevens,Eastern WA,Motorized,1.34875577138579
33533,Gillette Ridge Trail System,Stevens,Eastern WA,Motorized,2.96716916231404
33534,Little Pond Orielle Trail System,Stevens,Eastern WA,Motorized,0.134470283077118
33535,Sherlock Peak Trail,Stevens,Eastern WA,Non-Motorized,5.16777118874479
33536,Springboard Trail,Stevens,Eastern WA,Motorized,3.84021008869229
33537,Sherry Spur Trail,Stevens,Eastern WA,Motorized,0.749465345252562
33538,McDowell Marsh Enviromental Education,Stevens,Eastern WA,Non-Motorized,0.801176923800638
33539,Gillette Ridge Trail System,Stevens,Eastern WA,Motorized,17.2800664399765
33540,Green Mountain Ridge Trail,Stevens,Eastern WA,Motorized,0.669263402204864
33541,Gillette Ridge Trail System,Stevens,Eastern WA,Motorized,1.06718668701977
33542,Radar Dome Trail,Stevens,Eastern WA,Motorized,0.992827369919779
33543,Old Timers Horse Trail,Stevens,Eastern WA,Non-Motorized,2.18407624517357
33544,Mill Butte,Stevens,Eastern WA,Non-Motorized,3.47830032960716
33545,McDowell Marsh Enviromental Education,Stevens,Eastern WA,Non-Motorized,0.275336619943089
33546,Gillette Ridge Trail System,Stevens,Eastern WA,Motorized,0.858105833183828
33547,NA,Stevens,Eastern WA,Non-Motorized,0.044873010733685
33559,Sherry Spur Trail,Stevens,Eastern WA,Motorized,0.59903250211261
33560,Little Pond Orielle Trail System,Stevens,Eastern WA,Motorized,0.891792303002458
34084,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.103439784753636
34085,Bunchgrass Trail,Lincoln,Eastern WA,Non-Motorized,0.481078906228848
34086,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0981664188589289
34087,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.02709767190141
34088,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.739262479219671
34089,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.647434754452278
34090,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.155440274670137
34091,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0549015536870095
34092,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.386975822385256
34093,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0181592892603907
34094,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0889931622143495
34095,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0991317051260071
34096,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0540706234108729
34097,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0512442499723661
34098,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0539702416616869
34099,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.207867436010995
34100,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.182106550101102
34101,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.108249199756532
34102,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0404043867135712
34103,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0290646682828245
34104,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0424937004311097
34105,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0214423129639578
34106,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0440696703916349
34107,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.00306715904151368
34108,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0207758120172635
34109,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.152801073405303
34110,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.162944442109514
34111,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.115006374969925
34112,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0598698329916975
34113,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.149386141630356
34114,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.763846551582318
34115,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.330988181359546
34116,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0473825526752888
34117,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.181124093904273
34118,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0121798552795195
34119,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0755305407106049
34120,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.406698800392061
34121,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0434424212919724
34122,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.156923388437848
34123,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.365663313074859
34124,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0202562612077966
34125,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0173971183614759
34126,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0175220713207815
34127,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.143898146426964
34128,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0439967489010706
34129,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0500016237113993
34130,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.0181871502252741
34131,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.353462165334231
34132,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.176103799499069
34133,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.190227186568047
34134,National Park Trail,Lincoln,Eastern WA,Non-Motorized,0.252002740109455
34135,King Ranch Road East,Lincoln,Eastern WA,Non-Motorized,0.766361827904043
34136,NA,Lincoln,Eastern WA,Non-Motorized,0.766365806007596
34137,NA,Lincoln,Eastern WA,Non-Motorized,0.302368288654422
34138,NA,Lincoln,Eastern WA,Non-Motorized,0.354604521866545
34139,NA,Lincoln,Eastern WA,Non-Motorized,0.94954157852789
34140,NA,Lincoln,Eastern WA,Non-Motorized,1.585087076149
34141,NA,Lincoln,Eastern WA,Non-Motorized,1.27963236779175
34142,NA,Lincoln,Eastern WA,Non-Motorized,1.14239023921869
34143,NA,Lincoln,Eastern WA,Non-Motorized,2.3659118788243
34144,NA,Lincoln,Eastern WA,Non-Motorized,0.0433842677449475
34145,NA,Lincoln,Eastern WA,Non-Motorized,0.0154653293369903
34146,NA,Lincoln,Eastern WA,Non-Motorized,4.87919302756251
34147,NA,Lincoln,Eastern WA,Non-Motorized,3.16075308027886
34148,NA,Lincoln,Eastern WA,Non-Motorized,1.48686277586255
34149,NA,Lincoln,Eastern WA,Non-Motorized,0.89323925640251
34150,NA,Lincoln,Eastern WA,Non-Motorized,2.63932210501933
34151,NA,Lincoln,Eastern WA,Non-Motorized,0.0436814304219746
34152,NA,Lincoln,Eastern WA,Non-Motorized,3.30307185909511
34153,NA,Lincoln,Eastern WA,Non-Motorized,0.785566936622174
34154,NA,Lincoln,Eastern WA,Non-Motorized,0.842812450760324
34155,NA,Lincoln,Eastern WA,Non-Motorized,0.120026214226624
34156,NA,Lincoln,Eastern WA,Non-Motorized,1.37120218314182
34157,NA,Lincoln,Eastern WA,Non-Motorized,0.766009524578315
34158,NA,Lincoln,Eastern WA,Non-Motorized,2.74004386777056
34159,NA,Lincoln,Eastern WA,Non-Motorized,1.25263099444305
34160,NA,Lincoln,Eastern WA,Non-Motorized,0.728427612790646
34161,Loop Trail,Lincoln,Eastern WA,Non-Motorized,2.87848633017222
34162,NA,Lincoln,Eastern WA,Non-Motorized,0.124231561744485
34163,NA,Lincoln,Eastern WA,Non-Motorized,1.21154844534168
34164,Loop Trail,Lincoln,Eastern WA,Non-Motorized,6.83186827631422
34165,NA,Lincoln,Eastern WA,Non-Motorized,0.411352923258399
34166,NA,Lincoln,Eastern WA,Non-Motorized,2.34343660281656
34167,NA,Lincoln,Eastern WA,Non-Motorized,1.55296711434132
34168,NA,Lincoln,Eastern WA,Non-Motorized,0.704419612072289
34169,NA,Lincoln,Eastern WA,Non-Motorized,0.315957026250037
34170,NA,Lincoln,Eastern WA,Non-Motorized,0.666028917946708
34171,NA,Lincoln,Eastern WA,Non-Motorized,1.25087829954122
34172,NA,Lincoln,Eastern WA,Non-Motorized,2.74557641258488
34173,NA,Lincoln,Eastern WA,Non-Motorized,1.10363262714161
34174,NA,Lincoln,Eastern WA,Non-Motorized,0.31872354580447
34175,Loop Trail,Lincoln,Eastern WA,Non-Motorized,4.28976988498044
34176,NA,Lincoln,Eastern WA,Non-Motorized,0.656562881950527
34177,NA,Lincoln,Eastern WA,Non-Motorized,5.58350069555631
34178,NA,Lincoln,Eastern WA,Non-Motorized,3.18145910817647
34179,NA,Lincoln,Eastern WA,Non-Motorized,0.68010632050682
34180,NA,Lincoln,Eastern WA,Non-Motorized,0.37084041163062
34181,NA,Lincoln,Eastern WA,Non-Motorized,1.72445837406774
34182,NA,Lincoln,Eastern WA,Non-Motorized,1.08474558305689
34183,NA,Lincoln,Eastern WA,Non-Motorized,0.535046189446739
34184,NA,Lincoln,Eastern WA,Non-Motorized,0.829850301274884
34185,NA,Lincoln,Eastern WA,Non-Motorized,0.134902194490646
34186,NA,Lincoln,Eastern WA,Non-Motorized,1.05160448252543
34187,NA,Lincoln,Eastern WA,Non-Motorized,1.12383990563237
34188,NA,Lincoln,Eastern WA,Non-Motorized,1.56172312317833
34189,NA,Lincoln,Eastern WA,Non-Motorized,0.205462528599067
