objectid,trail_name,year_constructed,decade,era,trail_type_cat,agency_clean,segment_length_miles
44674,Fennek Creek Trail,2014,2010,2010s,Other/Unknown,City of Bonney Lake,0.675311754771765
44675,Safe Routes To School Trail,2014,2010,2010s,Other/Unknown,City of Bonney Lake,0.262076149309616
44676,Safe Routes To School Trail,2014,2010,2010s,Other/Unknown,City of Bonney Lake,0.0421046409320523
44677,Safe Routes To School Trail,2014,2010,2010s,Other/Unknown,City of Bonney Lake,0.0283560241468347
44678,Safe Routes To School Trail,2014,2010,2010s,Other/Unknown,City of Bonney Lake,0.0884643717083737
44679,Safe Routes To School Trail,2014,2010,2010s,Other/Unknown,City of Bonney Lake,0.202473901814523
44680,95th St E Bypass Trail,2020,2020,2020s,Other/Unknown,City of Bonney Lake,0.114552100821864
44681,95th St E Bypass Trail,2020,2020,2020s,Other/Unknown,City of Bonney Lake,0.147629586412674
44682,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.444351785777127
44683,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.0450448195818071
44684,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.1160278380943
44685,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.038591401627497
44686,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.0670552975466732
44687,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.0121903006869893
44688,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.109664995856267
44689,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.0124279971382351
44690,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.185757292641161
44691,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.171834125365832
44692,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.161803981889925
44693,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.137235540197213
44694,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.223203077001382
44695,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.0487120052998083
44696,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.113556553666403
44697,Fennel Creek Trail,2022,2020,2020s,Other/Unknown,City of Bonney Lake,0.0448820619504382
44698,95th St E Bypass Trail,2020,2020,2020s,Other/Unknown,City of Bonney Lake,0.0503705344131602
44699,Willow Brook HOA Park Trail,2001,2000,2000s,Other/Unknown,City of Bonney Lake,0.64258039923444
44797,Staircase,2021,2020,2020s,Other/Unknown,City of Bonney Lake,0.121160471248471
44798,Midtown Park Trail,2017,2010,2010s,Other/Unknown,City of Bonney Lake,0.0705234611457086
44799,Midtown Park Trail,2017,2010,2010s,Other/Unknown,City of Bonney Lake,0.0644972135295114
44800,Midtown Park Trail,2017,2010,2010s,Other/Unknown,City of Bonney Lake,0.14864057498896
50442,Harbor View Park Trail,2019,2010,2010s,Other/Unknown,Other Agency,0.34655398263132
50465,Harbor View Park Trail,2017,2010,2010s,Other/Unknown,Other Agency,0.66112213567348
50466,Centennial Trail Connector,2021,2020,2020s,Other/Unknown,Other Agency,1.98187670668593
50473,Ebey Waterfront Park Trail,2015,2010,2010s,Other/Unknown,Other Agency,0.24212186514176
50475,Ebey Overlook Trail,2015,2010,2010s,Other/Unknown,Other Agency,0.0962566391462645
50477,First Street By-Pass Trail,2021,2020,2020s,Other/Unknown,Other Agency,0.763247407728818
56549,White-tail Trail,2015,2010,2010s,Other/Unknown,Other Agency,1.27738668285277
56550,Center Road Trail,2015,2010,2010s,Other/Unknown,Other Agency,3.52440732561785
60784,Whistler Canyon,1900,1900,Pre-1970,Other/Unknown,Other Agency,18.6679247605463
60991,Comeford Park,2023,2020,2020s,Other/Unknown,Other Agency,0.282768224112248
